,experimento,número experimento,time elapsed,time user,time sys,task clock (msec),l1-dcache-load,l1-dcache-load-misses,branch-instructions,branch-misses
0,Sem otimização (AE),1,2.4721,2.457,0.008,2464.78,6692695281,529804837,540568329,751331
1,Sem otimização (AE),2,2.4546,2.4506,0.0039,2454.11,6690165697,529682136,538579026,708480
2,Sem otimização (AE),3,2.4219,2.4174,0.004,2420.96,6690700157,529997762,538906710,713869
3,Sem otimização (AE),4,2.4328,2.4287,0.004,2432.1,6690821046,530067273,539001734,717546
4,Sem otimização (AE),5,2.2797,2.2757,0.004,2279.32,6690208129,530030991,538609683,710616
5,Sem otimização (AE),6,2.4127,2.3926,0.02,2411.35,6690153165,529977088,538574902,707966
6,Sem otimização (AE),7,2.2868,2.2866,0.0,2286.2,6690426444,529707335,538746898,769517
7,Sem otimização (AE),8,2.4051,2.4051,0.004,2404.63,6690637944,530026875,538873976,712225
8,Sem otimização (AE),9,2.3992,2.3797,0.0159,2394.52,6692224718,530118477,540236636,748849
9,Sem otimização (AE),10,2.3402,2.3078,0.0201,2327.51,6690969518,530138517,539209235,725866
10,Sem otimização (AD),1,2.9069,2.8942,0.0079,2901.68,10802215526,610467203,549146719,744583
11,Sem otimização (AD),2,2.926,2.9153,0.0079,2923.27,10802138499,608851686,549094183,741292
12,Sem otimização (AD),3,3.3331,3.3259,0.0039,3329.28,10802280720,610597189,549174151,745935
13,Sem otimização (AD),4,2.981,2.9703,0.0079,2978.28,10802192992,609084670,549132467,741751
14,Sem otimização (AD),5,3.2359,3.2259,0.008,3233.73,10802266254,610234718,549172803,740071
15,Sem otimização (AD),6,3.037,3.0254,0.0079,3033.14,10802209763,610453802,549138694,745392
16,Sem otimização (AD),7,3.3046,3.2823,0.012,3293.33,10802600877,610260303,549416691,753432
17,Sem otimização (AD),8,3.3581,3.345,0.0,3345.44,10805895114,609654308,552153644,805696
18,Sem otimização (AD),9,3.386,3.3655,0.0039,3369.69,10805805193,611232475,552072233,805582
19,Sem otimização (AD),10,2.8656,2.8554,0.0079,2863.1,10802113674,610028811,549077867,738029
20,Interchange (AD),1,1.9225,1.8376,0.08,1917.32,10803374840,32738629,550166825,759423
21,Interchange (AD),2,1.9436,1.9352,0.0039,1938.96,10803475684,32755087,550248971,760361
22,Interchange (AD),3,1.9224,1.9183,0.004,1921.82,10801713740,32671697,548823365,726148
23,Interchange (AD),4,1.9262,1.9195,0.0039,1923.16,10803359244,32739804,550141444,758758
24,Interchange (AD),5,1.9218,1.9171,0.0,1916.7,10803430910,32744976,550216877,760729
25,Interchange (AD),6,1.9182,1.9182,0.0,1917.76,10801716597,32678628,548825550,725407
26,Interchange (AD),7,1.8958,1.8876,0.008,1895.2,10801766846,32686855,548860548,730413
27,Interchange (AD),8,1.883,1.879,0.004,1881.75,10801695418,32675888,548814443,724100
28,Interchange (AD),9,1.8964,1.8921,0.004,1894.88,10801692848,32698814,548808436,726921
29,Interchange (AD),10,1.8985,1.894,0.0,1892.84,10803349499,32727679,550150556,758278
30,Interchange (AE),1,1.9105,1.9025,0.008,1909.95,6691096783,32520950,539154386,708006
31,Interchange (AE),2,1.9053,1.8969,0.0039,1900.48,6691987781,32588378,540039192,740494
32,Interchange (AE),3,1.8901,1.8821,0.008,1888.86,6690202481,32519325,538610279,705915
33,Interchange (AE),4,1.8929,1.8865,0.0039,1889.37,6691871348,32561754,539930075,738513
34,Interchange (AE),5,1.9026,1.8946,0.0039,1898.22,6692369750,32559590,540266206,739045
35,Interchange (AE),6,1.8969,1.8928,0.004,1896.42,6690693967,32510058,538915002,709886
36,Interchange (AE),7,1.941,1.9363,0.004,1939.85,6690766706,32568575,538961574,711917
37,Interchange (AE),8,1.8869,1.8866,0.0,1885.44,6690856583,32522794,539003432,709095
