,Name,Each_%_Time,Sample_Cumulative_Counts,Self_Seconds,Calls,Self_ms/Call,Total_ms/call
0,clean_cache,81.96,0.09,0.09,3,30.05,30.05
1,merge,9.11,0.10,0.01,99999,0.00,0.00
2,heapsort,9.11,0.11,0.01,1,10.02,10.02
3,copy,0.00,0.11,0.00,3,0.00,0.00
4,mergeSort,0.00,0.11,0.00,1,0.00,10.02
5,quicksort,0.00,0.11,0.00,1,0.00,0.00
6,clean_cache,69.35,0.09,0.09,3,30.05,30.05
7,merge,15.41,0.11,0.02,99999,0.00,0.00
8,heapsort,7.71,0.12,0.01,1,10.02,10.02
9,quicksort,7.71,0.13,0.01,1,10.02,10.02
10,copy,0.00,0.13,0.00,3,0.00,0.00
11,mergeSort,0.00,0.13,0.00,1,0.00,20.04
12,clean_cache,75.13,0.09,0.09,3,30.05,30.05
13,merge,8.35,0.10,0.01,99999,0.00,0.00
14,heapsort,8.35,0.11,0.01,1,10.02,10.02
15,mergeSort,8.35,0.12,0.01,1,10.02,20.04
16,copy,0.00,0.12,0.00,3,0.00,0.00
17,quicksort,0.00,0.12,0.00,1,0.00,0.00
18,clean_cache,69.35,0.09,0.09,3,30.05,30.05
19,merge,15.41,0.11,0.02,99999,0.00,0.00
20,heapsort,7.71,0.12,0.01,1,10.02,10.02
21,quicksort,7.71,0.13,0.01,1,10.02,10.02
22,copy,0.00,0.13,0.00,3,0.00,0.00
23,mergeSort,0.00,0.13,0.00,1,0.00,20.04
24,clean_cache,77.06,0.10,0.10,3,33.39,33.39
25,merge,7.71,0.11,0.01,99999,0.00,0.00
26,heapsort,7.71,0.12,0.01,1,10.02,10.02
27,quicksort,7.71,0.13,0.01,1,10.02,10.02
28,copy,0.00,0.13,0.00,3,0.00,0.00
29,mergeSort,0.00,0.13,0.00,1,0.00,10.02
30,clean_cache,69.35,0.09,0.09,3,30.05,30.05
31,merge,15.41,0.11,0.02,99999,0.00,0.00
32,heapsort,7.71,0.12,0.01,1,10.02,10.02
33,quicksort,7.71,0.13,0.01,1,10.02,10.02
34,copy,0.00,0.13,0.00,3,0.00,0.00
35,mergeSort,0.00,0.13,0.00,1,0.00,20.04
36,clean_cache,69.35,0.09,0.09,3,30.05,30.05
37,merge,15.41,0.11,0.02,99999,0.00,0.00
38,heapsort,7.71,0.12,0.01,1,10.02,10.02
39,quicksort,7.71,0.13,0.01,1,10.02,10.02
40,copy,0.00,0.13,0.00,3,0.00,0.00
41,mergeSort,0.00,0.13,0.00,1,0.00,20.04
42,clean_cache,69.35,0.09,0.09,3,30.05,30.05
43,merge,15.41,0.11,0.02,99999,0.00,0.00
44,heapsort,7.71,0.12,0.01,1,10.02,10.02
45,quicksort,7.71,0.13,0.01,1,10.02,10.02
46,copy,0.00,0.13,0.00,3,0.00,0.00
47,mergeSort,0.00,0.13,0.00,1,0.00,20.04
48,clean_cache,75.13,0.09,0.09,3,30.05,30.05
49,merge,16.70,0.11,0.02,99999,0.00,0.00
50,heapsort,8.35,0.12,0.01,1,10.02,10.02
51,copy,0.00,0.12,0.00,3,0.00,0.00
52,mergeSort,0.00,0.12,0.00,1,0.00,20.04
53,quicksort,0.00,0.12,0.00,1,0.00,0.00
54,clean_cache,69.35,0.09,0.09,3,30.05,30.05
55,merge,15.41,0.11,0.02,99999,0.00,0.00
56,heapsort,7.71,0.12,0.01,1,10.02,10.02
57,quicksort,7.71,0.13,0.01,1,10.02,10.02
58,copy,0.00,0.13,0.00,3,0.00,0.00
59,mergeSort,0.00,0.13,0.00,1,0.00,20.04
